
                                             CodeAnalysis
    ==============================================================================================
     Tue Nov 22 12:38:41 2016
     Path: "C:\Users\harry\Desktop\project2"
     Args: *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
                Program.cs       class                         testString     317      67      13
                Program.cs    function                         ThreadProc     323       8       2
                Program.cs    function                      startListener     332      16       3
                Program.cs    function                  connectToListener     349      11       3
                Program.cs    function                        sendMessage     361      10       3
                Program.cs    function                               Main     373       8       1
                Program.cs       class                           testFile     384      51       8
                Program.cs    function                     createListener     387       4       1
                Program.cs    function                       createSender     392      33       5
                Program.cs    function                               Main     426       6       1
                Program.cs   namespace                                 tc      13      20       5
                Program.cs       class                                tc1      15      18       4
                Program.cs    function                        annunciator      17       3       1
                Program.cs    function                             result      21       3       1
                Program.cs    function                               Main      26       4       1
                Program.cs   namespace                                 tc      13      24       5
                Program.cs       class                                tc2      15      22       4
                Program.cs    function                        annunciator      17       3       1
                Program.cs    function                             result      21       7       1
                Program.cs    function                               Main      30       4       1
                Program.cs   namespace                                td1      14      38       8
                Program.cs       class                                td1      17      35       7
                Program.cs    function                                td1      21       4       1
                Program.cs    function                             getLog      24       2       1
                Program.cs    function                             create      27       3       1
                Program.cs    function                               Test      32      10       2
                Program.cs    function                               Main      44       5       1
                Program.cs   namespace                                td2      13      38       8
                Program.cs       class                                td2      16      35       7
                Program.cs    function                                td2      21       4       1
                Program.cs    function                             create      26       3       1
                Program.cs    function                             getLog      29       2       1
                Program.cs    function                               Test      32       8       2
                Program.cs    function                               Main      43       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
     Resources.Designer.cs   namespace                             Client      12      60       9
     Resources.Designer.cs       class                          Resources      26      46       8
     Resources.Designer.cs    function           SuppressMessageAttribute      34       2       1
     Resources.Designer.cs    function           EditorBrowsableAttribute      42      11       3
     Resources.Designer.cs    function           EditorBrowsableAttribute      60      10       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
      Settings.Designer.cs   namespace                             Client      12      19       4
